year,series_name,series_href
2025,1989,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1989
2025,1990,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1990
2025,1971,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1971
2025,1972,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1972
2025,1973,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1973
2025,1974,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1974
2025,1975,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1975
2025,1976,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1976
2025,1977,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1977
2025,1978,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1978
2025,1979,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1979
2025,1980,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1980
2025,1961,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1961
2025,1962,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1962
2025,1963,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1963
2025,1964,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1964
2025,1965,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1965
2025,1966,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1966
2025,1967,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1967
2025,1968,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1968
2025,1969,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1969
2025,1970,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1970
2025,1951,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1951
2025,1952,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1952
2025,1953,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1953
2025,1954,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1954
2025,1955,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1955
2025,1956,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1956
2025,1957,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1957
2025,1958,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1958
2025,1959,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1959
2025,1960,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1960
2025,1946,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1946
2025,1947,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1947
2025,1948,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1948
2025,1949,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1949
2025,1950,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1950
2025,1931,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1931
2025,1932,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1932
