year,series_type,series_name,match_no,match_type,match_name,match_href,match_team1,match_team2,match_datetime_start,match_date_end,match_venue
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs SUNRISERS HYDERABAD, 23rd Match",https://www.cricbuzz.com/cricket-scores/35698/csk-vs-srh-23rd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 24th Match",https://www.cricbuzz.com/cricket-scores/35702/mi-vs-rr-24th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 25th Match",https://www.cricbuzz.com/cricket-scores/35703/dc-vs-kkr-25th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 26th Match",https://www.cricbuzz.com/cricket-scores/35708/pbks-vs-rcb-26th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 27th Match",https://www.cricbuzz.com/cricket-scores/35712/mi-vs-csk-27th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs SUNRISERS HYDERABAD, 28th Match",https://www.cricbuzz.com/cricket-scores/35713/rr-vs-srh-28th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs DELHI CAPITALS, 29th Match",https://www.cricbuzz.com/cricket-scores/35717/pbks-vs-dc-29th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 30th Match",https://www.cricbuzz.com/cricket-scores/35718/kkr-vs-rcb-30th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs MUMBAI INDIANS, 31st Match",https://www.cricbuzz.com/cricket-scores/35723/srh-vs-mi-31st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 30th Match",https://www.cricbuzz.com/cricket-scores/37556/csk-vs-mi-30th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 31st Match",https://www.cricbuzz.com/cricket-scores/37557/kkr-vs-rcb-31st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs RAJASTHAN ROYALS, 32nd Match",https://www.cricbuzz.com/cricket-scores/37562/pbks-vs-rr-32nd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs SUNRISERS HYDERABAD, 33rd Match",https://www.cricbuzz.com/cricket-scores/37567/dc-vs-srh-33rd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 34th Match",https://www.cricbuzz.com/cricket-scores/37572/mi-vs-kkr-34th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 35th Match",https://www.cricbuzz.com/cricket-scores/37577/rcb-vs-csk-35th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs RAJASTHAN ROYALS, 36th Match",https://www.cricbuzz.com/cricket-scores/37581/dc-vs-rr-36th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs PUNJAB KINGS, 37th Match",https://www.cricbuzz.com/cricket-scores/37582/srh-vs-pbks-37th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 38th Match",https://www.cricbuzz.com/cricket-scores/37586/csk-vs-kkr-38th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 39th Match",https://www.cricbuzz.com/cricket-scores/37591/rcb-vs-mi-39th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs RAJASTHAN ROYALS, 40th Match",https://www.cricbuzz.com/cricket-scores/37596/srh-vs-rr-40th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 41st Match",https://www.cricbuzz.com/cricket-scores/37601/kkr-vs-dc-41st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs PUNJAB KINGS, 42nd Match",https://www.cricbuzz.com/cricket-scores/37606/mi-vs-pbks-42nd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 43rd Match",https://www.cricbuzz.com/cricket-scores/37611/rr-vs-rcb-43rd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs CHENNAI SUPER KINGS, 44th Match",https://www.cricbuzz.com/cricket-scores/37616/srh-vs-csk-44th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 45th Match",https://www.cricbuzz.com/cricket-scores/37617/kkr-vs-pbks-45th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs DELHI CAPITALS, 46th Match",https://www.cricbuzz.com/cricket-scores/37621/mi-vs-dc-46th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 47th Match",https://www.cricbuzz.com/cricket-scores/37626/rr-vs-csk-47th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 48th Match",https://www.cricbuzz.com/cricket-scores/37627/rcb-vs-pbks-48th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD, 49th Match",https://www.cricbuzz.com/cricket-scores/37631/kkr-vs-srh-49th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 50th Match",https://www.cricbuzz.com/cricket-scores/37632/dc-vs-csk-50th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 51st Match",https://www.cricbuzz.com/cricket-scores/37637/rr-vs-mi-51st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs SUNRISERS HYDERABAD, 52nd Match",https://www.cricbuzz.com/cricket-scores/37642/rcb-vs-srh-52nd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 53rd Match",https://www.cricbuzz.com/cricket-scores/37646/csk-vs-pbks-53rd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 54th Match",https://www.cricbuzz.com/cricket-scores/37651/kkr-vs-rr-54th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs MUMBAI INDIANS, 55th Match",https://www.cricbuzz.com/cricket-scores/37656/srh-vs-mi-55th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 56th Match",https://www.cricbuzz.com/cricket-scores/37661/rcb-vs-dc-56th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs CHENNAI SUPER KINGS, Qualifier 1",https://www.cricbuzz.com/cricket-scores/37666/dc-vs-csk-qualifier-1-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, Eliminator",https://www.cricbuzz.com/cricket-scores/37671/rcb-vs-kkr-eliminator-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, Qualifier 2",https://www.cricbuzz.com/cricket-scores/37672/dc-vs-kkr-qualifier-2-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, Final",https://www.cricbuzz.com/cricket-scores/37676/csk-vs-kkr-final-indian-premier-league-2021,,,,,
